,comment
2182,ultra 2 maybe not particular fond of no choice
2183,watch is insane wow
2184,why can not apple make a right handed watch like rolex did
2185,you inspired me to start my own youtube channel i think i will name it bdsmmlk what do you think
2186,what a coincidence he inspired me to make my own channel i named it bbwmlk
2187,all i wan na know is can i get every app on the watch that i have on my phone that is all i need
2188,i got my ultra watch today and literally do not know what i should try first should i go swimming should i go up a hill hmm
2189,the editing and style of this video wa very casey neistatish now that he is back in new york really hope you collab for something new that no one ha not seen before
2190,i wa just waiting for the line u can get d brank skin matte black
2191,pricing make iphone look like a bargain
2192,i do not know why but this watch remind me so much of my omega that i have which is plus i love my omega sea master to death
2193,what you know about the fight club scar adn do not tell u you can not talk about it
2194,gimic but apple zombie are fooled by anything
2195,in serbia retail price for this watch is 1220 euro gigatron and in germany it is 1000 euro mediamarkt
2196,can it make me transform to four arm if not the price is not accepted
2197,i had 2 different apple watch but i could never get them to match my work out battery life wa not great i invested in a garmin with a week is worth of battery if apple can do a apple watch with a week is battery of course le feature i definitely fall in that outer ring of people that have different need
